Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    5 rooms,"113,419","Dallas County, Texas!!Percent",19.0%
    6 rooms,"108,419","Dallas County, Texas!!Percent",18.5%
    7 rooms,"77,656","Dallas County, Texas!!Percent",10.0%
    8 rooms,"46,464","Dallas County, Texas!!Percent",6.8%
    9 rooms or more,"41,898","Dallas County, Texas!!Percent",7.6%
    Median rooms,5.1,"Dallas County, Texas!!Percent",(X)
BEDROOMS,,"Dallas County, Texas!!Percent",
    Total housing units,"631,955","Dallas County, Texas!!Percent","943,876"
    No bedroom,"19,944","Dallas County, Texas!!Percent",2.2%
    1 bedroom,"89,100","Dallas County, Texas!!Percent",19.7%
    2 bedrooms,"162,836","Dallas County, Texas!!Percent",25.2%
    3 bedrooms,"202,224","Dallas County, Texas!!Percent",36.0%
    4 bedrooms,"122,330","Dallas County, Texas!!Percent",14.4%
    5 or more bedrooms,"35,521","Dallas County, Texas!!Percent",2.5%
HOUSING TENURE,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    Owner-occupied,"342,955","Dallas County, Texas!!Percent",53.2%
    Renter-occupied,"256,280","Dallas County, Texas!!Percent",46.8%
    Average household size of owner-occupied unit,3.01,"Dallas County, Texas!!Percent",(X)
    Average household size of renter-occupied unit,2.86,"Dallas County, Texas!!Percent",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    Moved in 2005 or later,"282,245","Dallas County, Texas!!Percent",55.2%
    Moved in 2000 to 2004,"101,772","Dallas County, Texas!!Percent",15.8%
    Moved in 1990 to 1999,"101,476","Dallas County, Texas!!Percent",15.2%
    Moved in 1980 to 1989,"50,775","Dallas County, Texas!!Percent",6.2%
    Moved in 1970 to 1979,"35,403","Dallas County, Texas!!Percent",4.3%
    Moved in 1969 or earlier,"27,564","Dallas County, Texas!!Percent",3.3%
VEHICLES AVAILABLE,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    No vehicles available,"31,267","Dallas County, Texas!!Percent",6.9%
    1 vehicle available,"168,953","Dallas County, Texas!!Percent",39.8%
    2 vehicles available,"249,590","Dallas County, Texas!!Percent",37.3%
    3 or more vehicles available,"149,425","Dallas County, Texas!!Percent",16.0%
HOUSE HEATING FUEL,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    Utility gas,"401,603","Dallas County, Texas!!Percent",38.7%
"    Bottled, tank, or LP gas","8,862","Dallas County, Texas!!Percent",0.6%
    Electricity,"178,541","Dallas County, Texas!!Percent",60.4%
"    Fuel oil, kerosene, etc.",462,"Dallas County, Texas!!Percent",0.0%
    Coal or coke,0,"Dallas County, Texas!!Percent",0.0%
    Wood,"1,887","Dallas County, Texas!!Percent",0.0%
    Solar energy,850,"Dallas County, Texas!!Percent",0.0%
    Other fuel,"1,238","Dallas County, Texas!!Percent",0.0%
    No fuel used,"5,792","Dallas County, Texas!!Percent",0.2%
SELECTED CHARACTERISTICS,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    Lacking complete plumbing facilities,"3,645","Dallas County, Texas!!Percent",0.5%
    Lacking complete kitchen facilities,"6,765","Dallas County, Texas!!Percent",0.9%
    No telephone service available,"10,027","Dallas County, Texas!!Percent",2.1%
OCCUPANTS PER ROOM,,"Dallas County, Texas!!Percent",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent","843,416"
    1.00 or less,"551,916","Dallas County, Texas!!Percent",92.9%
    1.01 to 1.50,"32,292","Dallas County, Texas!!Percent",5.0%
    1.51 or more,"15,027","Dallas County, Texas!!Percent",2.0%
VALUE,,"Dallas County, Texas!!Percent",
    Owner-occupied units,"342,955","Dallas County, Texas!!Percent","448,918"
"    Less than $50,000","7,522","Dallas County, Texas!!Percent",6.7%
"    $50,000 to $99,999","9,155","Dallas County, Texas!!Percent",25.2%
"    $100,000 to $149,999","4,362","Dallas County, Texas!!Percent",26.6%
"    $150,000 to $199,999","5,612","Dallas County, Texas!!Percent",14.3%
"    $200,000 to $299,999","16,502","Dallas County, Texas!!Percent",12.8%
"    $300,000 to $499,999","70,855","Dallas County, Texas!!Percent",8.4%
"    $500,000 to $999,999","161,903","Dallas County, Texas!!Percent",4.3%
"    $1,000,000 or more","67,044","Dallas County, Texas!!Percent",1.7%
    Median (dollars),"639,400","Dallas County, Texas!!Percent",(X)
MORTGAGE STATUS,,"Dallas County, Texas!!Percent",
    Owner-occupied units,"342,955","Dallas County, Texas!!Percent","448,918"
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Percent",69.5%
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Percent",30.5%
SELECTED MONTHLY OWNER COSTS (SMOC),,"Dallas County, Texas!!Percent",
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Percent","311,935"
    Less than $300,441,"Dallas County, Texas!!Percent",0.0%
    $300 to $499,"1,586","Dallas County, Texas!!Percent",1.0%
    $500 to $699,"2,152","Dallas County, Texas!!Percent",3.3%
    $700 to $999,"4,788","Dallas County, Texas!!Percent",12.5%
"    $1,000 to $1,499","16,484","Dallas County, Texas!!Percent",37.1%
"    $1,500 to $1,999","28,710","Dallas County, Texas!!Percent",22.3%
"    $2,000 or more","202,115","Dallas County, Texas!!Percent",23.7%
    Median (dollars),"2,994","Dallas County, Texas!!Percent",(X)
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Percent","136,983"
    Less than $100,"1,051","Dallas County, Texas!!Percent",0.7%
    $100 to $199,"3,040","Dallas County, Texas!!Percent",2.8%
    $200 to $299,"8,855","Dallas County, Texas!!Percent",11.6%
    $300 to $399,"14,202","Dallas County, Texas!!Percent",14.2%
    $400 or more,"59,531","Dallas County, Texas!!Percent",70.6%
    Median (dollars),539,"Dallas County, Texas!!Percent",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Dallas County, Texas!!Percent",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Dallas County, Texas!!Percent","310,211"
    Less than 20.0 percent,"61,314","Dallas County, Texas!!Percent",34.6%
    20.0 to 24.9 percent,"37,831","Dallas County, Texas!!Percent",16.2%
    25.0 to 29.9 percent,"31,228","Dallas County, Texas!!Percent",11.9%
    30.0 to 34.9 percent,"27,748","Dallas County, Texas!!Percent",9.0%
    35.0 percent or more,"97,215","Dallas County, Texas!!Percent",28.3%
    Not computed,940,"Dallas County, Texas!!Percent",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Dallas County, Texas!!Percent","135,379"
    Less than 10.0 percent,"43,387","Dallas County, Texas!!Percent",33.9%
    10.0 to 14.9 percent,"14,242","Dallas County, Texas!!Percent",22.3%
    15.0 to 19.9 percent,"8,796","Dallas County, Texas!!Percent",12.8%
    20.0 to 24.9 percent,"5,781","Dallas County, Texas!!Percent",8.2%
    25.0 to 29.9 percent,"2,687","Dallas County, Texas!!Percent",6.1%
    30.0 to 34.9 percent,"2,337","Dallas County, Texas!!Percent",4.0%
    35.0 percent or more,"7,889","Dallas County, Texas!!Percent",12.7%
    Not computed,"1,560","Dallas County, Texas!!Percent",(X)
GROSS RENT,,"Dallas County, Texas!!Percent",
    Occupied units paying rent,"250,980","Dallas County, Texas!!Percent","384,011"
    Less than $200,"1,021","Dallas County, Texas!!Percent",1.4%
    $200 to $299,"5,127","Dallas County, Texas!!Percent",1.1%
    $300 to $499,"5,300","Dallas County, Texas!!Percent",4.7%
    $500 to $749,"13,324","Dallas County, Texas!!Percent",31.1%
    $750 to $999,"26,134","Dallas County, Texas!!Percent",29.6%
"    $1,000 to $1,499","90,157","Dallas County, Texas!!Percent",24.4%
"    $1,500 or more","109,917","Dallas County, Texas!!Percent",7.7%
    Median (dollars),"1,418","Dallas County, Texas!!Percent",(X)
    No rent paid,"5,300","Dallas County, Texas!!Percent",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Dallas County, Texas!!Percent",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Dallas County, Texas!!Percent","374,383"
    Less than 15.0 percent,"36,283","Dallas County, Texas!!Percent",11.8%
    15.0 to 19.9 percent,"35,384","Dallas County, Texas!!Percent",12.7%
    20.0 to 24.9 percent,"29,917","Dallas County, Texas!!Percent",14.0%
    25.0 to 29.9 percent,"27,507","Dallas County, Texas!!Percent",11.6%
    30.0 to 34.9 percent,"23,888","Dallas County, Texas!!Percent",9.0%
    35.0 percent or more,"93,855","Dallas County, Texas!!Percent",40.9%
    Not computed,"9,446","Dallas County, Texas!!Percent",(X)
HOUSING OCCUPANCY,,"Dallas County, Texas!!Percent Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Percent Margin of Error",(X)
    Occupied housing units,"599,235","Dallas County, Texas!!Percent Margin of Error",±0.5
    Vacant housing units,"32,720","Dallas County, Texas!!Percent Margin of Error",±0.5
    Homeowner vacancy rate,1.8,"Dallas County, Texas!!Percent Margin of Error",(X)
    Rental vacancy rate,4.1,"Dallas County, Texas!!Percent Margin of Error",(X)
UNITS IN STRUCTURE,,"Dallas County, Texas!!Percent Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Percent Margin of Error",(X)
"    1-unit, detached","332,653","Dallas County, Texas!!Percent Margin of Error",±0.8
"    1-unit, attached","68,576","Dallas County, Texas!!Percent Margin of Error",±0.3
    2 units,"14,314","Dallas County, Texas!!Percent Margin of Error",±0.2
    3 or 4 units,"38,225","Dallas County, Texas!!Percent Margin of Error",±0.3
    5 to 9 units,"35,293","Dallas County, Texas!!Percent Margin of Error",±0.5
    10 to 19 units,"31,079","Dallas County, Texas!!Percent Margin of Error",±0.6
    20 or more units,"92,993","Dallas County, Texas!!Percent Margin of Error",±0.5
    Mobile home,"18,161","Dallas County, Texas!!Percent Margin of Error",±0.2
"    Boat, RV, van, etc.",661,"Dallas County, Texas!!Percent Margin of Error",±0.1
YEAR STRUCTURE BUILT,,"Dallas County, Texas!!Percent Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Percent Margin of Error",(X)
    Built 2005 or later,"27,044","Dallas County, Texas!!Percent Margin of Error",±0.4
    Built 2000 to 2004,"37,364","Dallas County, Texas!!Percent Margin of Error",±0.5
    Built 1990 to 1999,"66,881","Dallas County, Texas!!Percent Margin of Error",±0.5
    Built 1980 to 1989,"75,301","Dallas County, Texas!!Percent Margin of Error",±0.6
    Built 1970 to 1979,"142,515","Dallas County, Texas!!Percent Margin of Error",±0.5
    Built 1960 to 1969,"125,418","Dallas County, Texas!!Percent Margin of Error",±0.5
    Built 1950 to 1959,"97,176","Dallas County, Texas!!Percent Margin of Error",±0.4
    Built 1940 to 1949,"26,180","Dallas County, Texas!!Percent Margin of Error",±0.3
    Built 1939 or earlier,"34,076","Dallas County, Texas!!Percent Margin of Error",±0.3
ROOMS,,"Dallas County, Texas!!Percent Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Percent Margin of Error",(X)
    1 room,"18,306","Dallas County, Texas!!Percent Margin of Error",±0.3
    2 rooms,"25,842","Dallas County, Texas!!Percent Margin of Error",±0.2
    3 rooms,"77,744","Dallas County, Texas!!Percent Margin of Error",±0.6
    4 rooms,"122,207","Dallas County, Texas!!Percent Margin of Error",±0.7
    5 rooms,"113,419","Dallas County, Texas!!Percent Margin of Error",±0.6
    6 rooms,"108,419","Dallas County, Texas!!Percent Margin of Error",±0.6
    7 rooms,"77,656","Dallas County, Texas!!Percent Margin of Error",±0.5
    8 rooms,"46,464","Dallas County, Texas!!Percent Margin of Error",±0.4
    9 rooms or more,"41,898","Dallas County, Texas!!Percent Margin of Error",±0.4
    Median rooms,5.1,"Dallas County, Texas!!Percent Margin of Error",(X)
BEDROOMS,,"Dallas County, Texas!!Percent Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Percent Margin of Error",(X)
    No bedroom,"19,944","Dallas County, Texas!!Percent Margin of Error",±0.3
    1 bedroom,"89,100","Dallas County, Texas!!Percent Margin of Error",±0.7
    2 bedrooms,"162,836","Dallas County, Texas!!Percent Margin of Error",±0.7
    3 bedrooms,"202,224","Dallas County, Texas!!Percent Margin of Error",±0.8
    4 bedrooms,"122,330","Dallas County, Texas!!Percent Margin of Error",±0.6
    5 or more bedrooms,"35,521","Dallas County, Texas!!Percent Margin of Error",±0.2
HOUSING TENURE,,"Dallas County, Texas!!Percent Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent Margin of Error",(X)
    Owner-occupied,"342,955","Dallas County, Texas!!Percent Margin of Error",±0.8
    Renter-occupied,"256,280","Dallas County, Texas!!Percent Margin of Error",±0.8
    Average household size of owner-occupied unit,3.01,"Dallas County, Texas!!Percent Margin of Error",(X)
    Average household size of renter-occupied unit,2.86,"Dallas County, Texas!!Percent Margin of Error",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Dallas County, Texas!!Percent Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent Margin of Error",(X)
    Moved in 2005 or later,"282,245","Dallas County, Texas!!Percent Margin of Error",±0.7
    Moved in 2000 to 2004,"101,772","Dallas County, Texas!!Percent Margin of Error",±0.6
    Moved in 1990 to 1999,"101,476","Dallas County, Texas!!Percent Margin of Error",±0.6
    Moved in 1980 to 1989,"50,775","Dallas County, Texas!!Percent Margin of Error",±0.4
    Moved in 1970 to 1979,"35,403","Dallas County, Texas!!Percent Margin of Error",±0.3
    Moved in 1969 or earlier,"27,564","Dallas County, Texas!!Percent Margin of Error",±0.2
VEHICLES AVAILABLE,,"Dallas County, Texas!!Percent Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent Margin of Error",(X)
    No vehicles available,"31,267","Dallas County, Texas!!Percent Margin of Error",±0.4
    1 vehicle available,"168,953","Dallas County, Texas!!Percent Margin of Error",±0.7
    2 vehicles available,"249,590","Dallas County, Texas!!Percent Margin of Error",±0.8
    3 or more vehicles available,"149,425","Dallas County, Texas!!Percent Margin of Error",±0.7
HOUSE HEATING FUEL,,"Dallas County, Texas!!Percent Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Percent Margin of Error",(X)
    Utility gas,"401,603","Dallas County, Texas!!Percent Margin of Error",±0.8
